date,week,dow,status,total,in,out,101000566,102000566,353244406,353244410
2016-07-18,29,1,4,2530,1271,1259,1271,1259
2016-07-19,29,2,4,2622,1337,1285,1337,1285
2016-07-20,29,3,4,2442,1217,1225,1217,1225
2016-07-21,29,4,4,2483,1254,1229,1254,1229
2016-07-22,29,5,4,1665,858,807,858,807
2016-07-23,29,6,5,656,341,315,341,315
2016-07-24,29,7,5,1353,701,652,701,652
2016-07-25,30,1,4,2437,1253,1184,1253,1184
2016-07-26,30,2,4,2479,1239,1240,1239,1240
2016-07-27,30,3,4,2398,1221,1177,1221,1177
2016-07-28,30,4,4,2405,1198,1207,1198,1207
2016-07-29,30,5,4,2109,1085,1024,1085,1024
2016-07-30,30,6,5,1198,592,606,592,606
2016-07-31,30,7,5,870,449,421,449,421
2016-08-01,31,1,4,1794,932,862,932,862
2016-08-02,31,2,4,2070,1062,1008,1062,1008
2016-08-03,31,3,4,1950,992,958,992,958
2016-08-04,31,4,4,1625,828,797,828,797
2016-08-05,31,5,4,1012,516,496,516,496
2016-08-06,31,6,5,1029,534,495,534,495
2016-08-07,31,7,5,1349,683,666,683,666
2016-08-08,32,1,4,1650,859,791,859,791
2016-08-09,32,2,4,1464,738,726,738,726
2016-08-10,32,3,4,1654,866,788,866,788
2016-08-11,32,4,4,1663,829,834,829,834
2016-08-12,32,5,4,1498,773,725,773,725
2016-08-13,32,6,5,979,484,495,484,495
2016-08-14,32,7,5,1044,519,525,519,525
2016-08-15,33,1,6,997,506,491,506,491
2016-08-16,33,2,4,1676,856,820,856,820
2016-08-17,33,3,4,1914,983,931,983,931
2016-08-18,33,4,4,1575,798,777,798,777
2016-08-19,33,5,4,1711,861,850,861,850
2016-08-20,33,6,5,338,179,159,179,159
2016-08-21,33,7,5,1402,699,703,699,703
2016-08-22,34,1,4,2439,1242,1197,1242,1197
2016-08-23,34,2,4,2570,1306,1264,1306,1264
2016-08-24,34,3,4,2462,1251,1211,1251,1211
2016-08-25,34,4,4,2534,1270,1264,1270,1264
2016-08-26,34,5,4,2263,1173,1090,1173,1090
2016-08-27,34,6,5,1049,548,501,548,501
2016-08-28,34,7,5,1203,615,588,615,588
2016-08-29,35,1,4,2782,1412,1370,1412,1370
2016-08-30,35,2,4,3168,1631,1537,1631,1537
2016-08-31,35,3,4,3007,1533,1474,1533,1474
2016-09-01,35,4,4,3362,1717,1645,1717,1645
2016-09-02,35,5,4,3295,1675,1620,1675,1620
2016-09-03,35,6,5,1561,811,750,811,750
2016-09-04,35,7,5,2041,1012,1029,1012,1029
2016-09-05,36,1,4,3705,1903,1802,1903,1802
2016-09-06,36,2,4,4194,2162,2032,2162,2032
2016-09-07,36,3,4,4230,2156,2074,2156,2074
2016-09-08,36,4,4,4489,2355,2134,2355,2134
2016-09-09,36,5,4,3812,1898,1914,1898,1914
2016-09-10,36,6,5,1583,841,742,841,742
2016-09-11,36,7,5,2093,1073,1020,1073,1020
2016-09-12,37,1,4,4290,2198,2092,2198,2092
2016-09-13,37,2,4,4579,2346,2233,2346,2233
2016-09-14,37,3,4,4387,2256,2131,2256,2131
2016-09-15,37,4,4,4174,2287,1887,2287,1887
2016-09-16,37,5,4,3453,1644,1809,1644,1809
