date,week,dow,smh1,drac1,eyb1,gre1,gre2
2008-09-13,37,6,195,45,65,157,301
2008-09-14,37,7,642,584,218,394,744
2008-09-15,38,1,2390,404,453,1224,2080
2008-09-16,38,2,2548,489,501,1273,2345
2008-09-17,38,3,3035,785,701,1364,2252
2008-09-18,38,4,2619,497,561,1273,2135
2008-09-19,38,5,1861,380,351,1058,1841
2008-09-20,38,6,1165,648,364,734,1151
2008-09-21,38,7,1329,648,417,755,1029
2008-09-22,39,1,2961,620,681,1343,2222
2008-09-23,39,2,2922,592,582,1389,2369
2008-09-24,39,3,2838,640,637,1416,2111
2008-09-25,39,4,2740,466,522,1234,2154
2008-09-26,39,5,2233,442,449,1158,2134
2008-09-27,39,6,1166,815,449,692,1060
2008-09-28,39,7,1540,854,518,701,944
2008-09-29,40,1,2917,612,624,1351,2361
2008-09-30,40,2,3064,603,543,1466,2462
2008-10-01,40,3,3122,635,649,1409,2393
2008-10-02,40,4,3067,493,551,1391,2419
2008-10-03,40,5,2042,260,372,869,1864
2008-10-04,40,6,665,302,161,388,784
2008-10-05,40,7,1367,804,422,632,927
2008-10-06,41,1,2723,353,459,1206,2126
2008-10-07,41,2,3278,702,692,1471,2575
2008-10-08,41,3,2660,329,498,1155,2161
2008-10-09,41,4,3040,443,485,1302,2243
2008-10-10,41,5,2864,575,545,1309,2416
2008-10-11,41,6,1423,862,526,880,1176
2008-10-12,41,7,1396,710,505,746,932
2008-10-13,42,1,2713,371,467,1166,2155
2008-10-14,42,2,3345,590,597,1487,2611
2008-10-15,42,3,3313,658,746,1473,2549
2008-10-16,42,4,2748,338,437,1188,2164
2008-10-17,42,5,2557,347,430,1007,2326
2008-10-18,42,6,1415,745,446,637,1182
2008-10-19,42,7,1704,741,550,623,1111
2008-10-20,43,1,2852,484,529,1307,2256
2008-10-21,43,2,2937,404,422,1219,2356
2008-10-22,43,3,1932,179,314,794,1674
2008-10-23,43,4,2430,290,399,963,1979
2008-10-24,43,5,2440,434,509,1090,2074
2008-10-25,43,6,921,542,358,515,1026
2008-10-26,43,7,1386,839,550,666,1045
